hint1;Hint 1: If the text starts with "-", it means the main character is speaking out loud.
651;Quick-sighted: Depends on what I hear.
652;Rackford has already stopped coughing and choking.
653;Velgem: It's even funny. All right, have it your way. There's nothing you can do to me anyway.
654;Velgem: We are representatives of one of the oldest races. Even its name has been forgotten.
655;Velgem: Our race is capable of accumulating energy indefinitely and converting it into magic.
656;Velgem: As soon as the space runs out, the energy begins to shrink and can be accumulated further.
657;Velgem: Our race can live forever. Is there a catch? I don’t know, although I’ve been looking for an answer for a long time.
658;Velgem: We were born about a billion years ago. We were neighbours, played together and became friends.
659;Velgem: At twenty-five, Rackford went on a business trip to a distant planet.
660;Velgem: And there he caught something. An incurable disease that drains his strength.
661;Velgem: The only way to keep him alive was to be able to provide access to energy.
662;Velgem: At the same time, he is allergic to vital energy.
663;Velgem: And his body does not assimilate other types. And what remains?
664;Velgem: His body could last a few more years and I was trying to find the right kind of energy.
665;Velgem: One day I thought - what if I let him suck out a creature that is dying?
666;Velgem: After all, then there will be a minimum of vital energy and allergies should not work.
667;Velgem: And so it turned out. And the energy was absorbed by the body!
668;Velgem: And then I noticed that the effectiveness varies greatly from case to case.
669;Velgem: So what's the matter? It turned out that the biggest influence was how happy the creature was.
670;Velgem: That's how the idea of complexes arose.
671;Velgem: Thanks to the magic and technology of printing anything, people are happy here!
672;Velgem: The project is working and some countries have already even partially implemented it for law-abiding citizens.
673;Quick-sighted: You kidnap creatures against their will! It's wrong!
674;Velgem: By no means. First of all, I always ask, does a creature want all its desires fulfilled?
675;Velgem: Want to live for own pleasure and not depend on anyone?
676;Quick-sighted: But no one will say "No" to such questions.	.
677;Velgem: Well why? Suspicious ones will ask everything. Some even refuse. What's wrong?
678;Quick-sighted: People don't know they're going to die in a year. And what do they sign up for.
679;Velgem: Right. But how could they live happily knowing that they were going to die soon? The answer is obvious.
680;Quick-sighted: Why don't you let the creatures come back?
681;Velgem: There were no willings yet.
682;Quick-sighted: Why should I even trust you?
683;Velgem: You shouldn't. But why would I lie?
684;Quick-sighted: Where do the residents disappear to? Well, the the energy will be sucked out of them, but the bodies must remain.
685;Velgem: We can completely absorb creatures, splitting them into energy. Not even an atom remains.
686;Quick-sighted: What's the point of guards if you already have so much energy?
687;Velgem: It's simple. First of all, I also need sleep and rest. And the complex will not be without protection at this time.
688;Velgem: Secondly, I can't keep track of everything at once. Thirdly, I am alone, but there are many complexes.
689;Quick-sighted: How much longer are you going to kill creatures to prolong Rackford's life?
690;Velgem: Until I make the medicine. And generally speaking...
691;Velgem: I don't kill creatures! I don't absorb energy by whole galaxies, although I could!
692;Velgem: That way I would have accumulated the right amount long ago. But this is wrong.
693;Velgem: Sucking out creatures that are about to die is the best option. It's not hurting anyone..
694;Quick-sighted: And when will you make the medicine? And anyway, wouldn't one complex be enough?
695;Velgem: It's complicated. About eight hundred million years ago I was in one of the distant worlds.
696;Velgem: There I came across a curious island. No one has been sick on it for a long time. There was no crime.
697;Velgem: No wars or even fights. It turned out that local magicians had come up with a very complicated spell.
698;Velgem: It allows you to change reality itself, removing aggression, disease, hatred, and so on.
699;Velgem: But their strength was only enough for the island. And it took a lot of sacrifices.
700;Velgem: I want to reproduce this spell for the whole universe, and this requires a lot of energy..
701;Quick-sighted: How do I know you don't want to destroy the universe?
702;Velgem: I could have destroyed it four hundred million years ago, I had enough energy.
703;Velgem: But creation requires significantly higher costs.
704;Velgem: And this is the only way I know to heal a friend.
705;Quick-sighted: But why can't you just cast a spell on him?
706;Velgem: The spell has one peculiarity - it only works in the homeland. And you shouldn't leave it.
707;Velgem: Our homeworld was destroyed long ago as a result of a collision with another planet.
708;Velgem: And if the spell works on the whole universe, then everyone will be in their homeland..
709;Velgem: After all, we were all born and live in the universe!
710;Quick-sighted: And what if it doesn't work?
711;Velgem: It will work, I have calculated everything a long time ago.
712;Quick-sighted: Each race considered many things impossible until it developed its own level of technology.
713;Velgem: I have thoroughly studied that island and this spell. Everything will work out.
714;Velgem: But it will take at least another five hundred million years, taking into account the expansion of the universe.
715;Quick-sighted: Diseases are natural and cannot be eliminated! No one can predict how this will affect!
716;Velgem: That's nonsense. All the oldest races are sufficiently developed and have cures for all diseases.
717;Velgem: So what's the difference - being able to cure all diseases or destroy them forever?
718;Velgem: And nothing bad ever happened to that island. I'm keeping a close eye on it.
719;Quick-sighted: Why don't you absorb solar energy? The energy of wind, tides, and so on?
720;Quick-sighted: The one that goes nowhere.
721;Velgem: The spell requires energy received from creatures. How can I explain...
722;Velgem: Roughly speaking, it has a different composition. That's why the magicians needed a sacrifice.
723;Quick-sighted: You're talking about magic. What does it mean?
724;Velgem: It's almost like in books and movies. Few have access to magic, our race is one of the few.
725;Velgem: But it's better in practice, right? Now I'll absorb some solar energy.
726;Velgem disappeared and returned after a while.
727;He created a fireball the size of half a room, then lightning, then a tree.
728;For a while, he soared into the air and flew.
729;Velgem: Well, is that enough? Will you keep silent?
730;Quick-sighted: So many things. It's hard to say, need to think about it. And if I tell someone, then what?
731;Velgem: Do you mean someone else besides your friends who are watching you?
732;Quick-sighted stunned.
733;Velgem: I don't recommend it.
734;Velgem: If you do not keep your word, I will erase the memory of you and everyone you tell.
735;Quick-sighted: So you're not going to kill or suck out?
736;Velgem: Of course not.
737;Quick-sighted: Okay, then I'll...go?
738;Velgem: I hope you will do the right thing.
739;Quick-sighted teleported to you.
740;Quick-sighted: And what are we going to do? It's not that bad. Even though I don't like it.
741;- Wait. What about those two guards who got me here?
742;Leader: They wanted to live on Earth. Therefore, no longer guards.
743;- Can't they tell everyone about this place?
744;Leader: I think Velgem will make sure they don't do that.
745;Gnome: So what's the plan?
746;Leader: None yet. Everything turned out to be more complicated than I thought.
747;- They need to be stopped
748;- We need to tell the world the truth
749;- I'll stay here
750;- I'm flying home
751;- I will help Velgem
752;Leader: How? You've seen what Velgem is capable of.
753;- If we change the date of death for one of us, Rockford will not be able to move due to allergies.
754;- And we can destroy it! Only Velgem will remain.
755;Gnome: Just the strongest, big deal.
756;Leader: It's not even that he's the strongest. Many questions remain.
757;Leader: What if they are immortal? And that's why they can live forever?
758;Leader: What will Velgem do after the death of a friend?
759;Leader: He has been accumulating energy for it for a billion years. Could destroy the universe.
760;- I don't think he's going to do that. So will accumulate energy for the spell..
761;Leader: I wouldn't be so sure. Okay, let's assume. Rackford destroyed. How to defeat Velgem?
762;Leader: And what if he calls the rest of the guards to destroy us? Are we going to kill them too?
763;Leader: Besides, you're already proposing to kill them instead of stopping them. It's a completely different story.
764;- Because the only chance to stop them is to kill. I don't think they can go to jail.
765;- I don’t know how to kill Velgem. I don't know what to do if he calls the guards. They are innocent.
766;Gnome: What if we take Rackford hostage?
767;Quick-sighted: And what's next?
768;Velgem: Yes, and what's next?
769;We simultaneously turned towards the sound.
770;Velgem: You can't stop me. But you are really capable of harming Rackford.
771;Velgem: And I won't let that happen. Therefore, I will erase your memory of this conversation and you will start it again.
772;Velgem: No longer thinking about killing Rackford.
773;- There is something like a social network, but on a universe scale?
774;Leader: Generally speaking, everything is not so simple, but there is. What do you propose to post?
775;- Everything we know
776;- How powerful is Velgem. How exactly he want to heal Rackford. And how he kidnaps creatures.
777;Suddenly Velgem appeared in front of us.
778;Velgem: I won't let you do this.
779;- What, are you afraid of the truth, Mr. Universe?
780;Velgem: If you tell the whole truth, everyone will know how much energy I have already absorbed.
781;Velgem: I'll be hunted down to be used as a weapon.
782;Velgem: And Rackford - as a hostage, so that I obey.
783;Velgem: You have no idea how powerful and dangerous creatures exist.
784;Velgem: Moreover, this way I will never cure Rackford, because energy will be spent on the needs of the owners.
785;Velgem: I will erase your memory and you will return to the discussion.
786;Velgem: Without even thinking about posting data online.
787;- All about Rackford's disease
788;- But let's not talk about Velgem. Because it is unlikely that he will allow such a thing to be posted.
789;Quick-sighted: Ha, that's for sure.
790;You couldn't even imagine what this would lead to.
791;Scientists from all over the universe are interested in Rackford's disease. No medications helped.
792;What interested everyone most was that life could only be sustained by the energy of happiness.
793;After decades of hard work, scientists have learned how to synthesize the energy of happiness.
794;And then created many mechanisms that allow to convert different types of energy into happiness.
795;Thanks to this, Rackford was always healthy. And Velgem was able to accumulate energy for a spell much faster.
796;Velgem was recognized as the hero of the Universe. He insisted on recognizing your entire group as heroes as well.
797;Many streets and universities have been named after you.
798;But there was also a downside. What can be created can also be destroyed.
799;Authorities around the world have used this energy as incentive to enforce absurd laws..
800;And in case of problems, happiness was taken away from the residents.
801;Criminals have learned to use it as a drug.
802;- We've been through a lot together. Who knows, maybe I'll still be useful.
803;- Just let them create conditions for me, as for all residents. And so on until the very end of life.
804;- In exchange for my silence.
805;Leader: Great plan! I think Velgem won't mind.
806;- And so that they don’t come for me anymore
807;- I've already been here, haven't I? You can't get here twice.
808;- And I shouldn't.
809;- And erase my memory
810;Fly away
811;Just fly away
812;You lived on Earth. From time to time missed your friends from the Moon.
813;And a year before death came here again.
814;You were happy to meet your friends, but the joy was overshadowed by the knowledge of what lies ahead.
815;Just wait to die
816;Let Welgem suck you out
817;- Let's not muck about. What's the point of waiting for your fate for a whole year?
818;- Suck out my energy now and get it over with.
819;Velgem: You're doing the right thing.
820;- I want to forget all this. What I learned is too difficult for the ordinary person.
821;Leader: I understand. Even though you forget it, know that you are not an ordinary person.
822;- Farewell, friends.
823;Leader: Farewell, friend.
824;Gnome: Know that you will always be in our hearts.
825;Quick-sighted couldn't find what to say.
826;You lived the rest of your life on Earth.
827;You lived the rest of your life on Earth, periodically recalling your adventures.
828;You lived on Earth.
829;And a year before death came here again.
830;As an ordinary resident.
831;Velgem: I appreciate it. It's true. Thank you.
832;Velgem: I never thought before that there could be volunteers. It's a great idea!
833;Velgem: The sooner I can cast the spell, the more creatures I can save.
834;Now Velgem was looking all over the universe for volunteers.
835;People who have no meaning in life. Terminally ill.
836;People who live in terrible conditions. Or constant suffering.
837;Some of them agreed. To those who refused, he simply erased the memory of the conversation.
838;Thanks to this, the spell was cast two hundred million years earlier.
839;Velgem has been recognized as a hero of the universe. Monuments were erected to him in all corners of the world.
840;Many streets and universities were named after him.
841;But also in honor of you. Velgem spoke about your feat and insisted that you too be recognized as a hero.
842;Leader: In what sense?
843;- I think his goal is worth the sacrifice. Voluntary, of course. And I want to become one of them.
844;- I'll let him suck my life out.
845;Quick-sighted: For what? You still have to live!
846;- With the energy of happiness alone, he will accumulate energy for a long time. I want to speed up the process.
