hint1;Подсказка 1: Если текст начинается с "-", значит, главный герой говорит вслух.
546;- А почему нельзя бластером уничтожить?
547;Глазастик: Потому что по вентилятору видно, что он сделан из отражающего материала. Это бесполезно.
548;- Я...просто проверял, что вы тоже знаете. А если включить щит?
549;Глазастик: Ты будешь бесконечно вращаться в вентиляторе и не сможешь двигаться.
550;На стене рядом с вентилятором была большая кнопка. Рядом с вами была ракетница. А позади - рычаг.
551;На потолке была какая-то дыра.
552;Нажать на кнопку
553;Стены мгновенно сжались и вас раздавило.
554;Выстрелить из ракетницы
555;После взрыва вентилятор остановился.
556;Гном: Вот это я понимаю, скрытное проникновение.
557;Гном, настало твоё время
558;Гном пошёл к вентилятору.
559;- Стой, что ты делаешь? Тебя же разрубит!
560;Глазастик: Он успеет прыгнуть между винтами. По крайней мере, должен.
561;- Это безумие!
562;С замиранием сердца Вы наблюдали за тем, как Гном остановился возле вентилятора.
563;А затем горизонтально прыгнул вперёд.
564;Через какое-то время вентилятор остановился.
565;Переключить рычаг
566;Вы оказались в предыдущей комнате.
567;Гном: Интересно тут перемещение устроено.
568;Вы вновь включили телевизор и оказались в комнате с вентилятором.
569;- Залезем через верх?
570;Гном: Тогда полезу я. Мало ли что там будет.
571;- А что сможешь сделать такого ты, что не сможем мы?
572;Гном: Может, пролезть? Я же самый маленький.
573;Вы залезли на Глазастика, а Гном залез на Вас.
574;Гном: Блин, слишком высоко. Придётся прыгать.
575;- Ты изд...
576;Каким-то чудом ваша конструкция выдержала прыжок.
577;Через какое-то время вентилятор остановился.
578;За вентилятором была дверь. А за ней - большая комната с кучей голограмм, как в фильмах.
579;Гном: Похоже, мы на месте.
580;Гном и Глазастик начали искать нужные данные.
581;Гном: Бинго! Я нашёл человека. Он умрёт послезавтра. Ему восемьдесят два года. Раса - человек.
582;Гном: Я записал, где он живёт.
583;- Так просто? Никаких тревог и прочего? Почему вообще тут пусто?
584;Глазастик: Данные автоматически рассылаются ответственным за пропажи жителей.
585;Глазастик: Комната управления нужна просто на всякий случай.
586;Вы вновь оказались в комнате-столовой.
587;Предводитель: Прекрасная работа, товарищи! Гном, Гость, отправляйтесь к будущей жертве.
588;Предводитель: Мы с Глазастиком не очень-то похожи на людей, поэтому нам нельзя.
589;Гном: Меня, как стража, обязаны будут впустить. Плёвое дело.
590;- А какой вообще план?
591;Предводитель: Нужно будет установить незаметные глазу камеры по всему дому.
592;Предводитель: Так мы узнаем, забирает ли кто-то жителей.
593;Предводитель: Если используются телепорты, камеры нам не помогут.
594;Предводитель: Поэтому обязательно нужно отслеживающее устройство.
595;- И куда мы его прицепим?
596;Предводитель: Это крошечный дрон. Вы возьмёте его с собой, а я буду им управлять.
597;Предводитель: Влечу через нос и приземлюсь где-нибудь в районе лёгких. Так дрон точно выживет.
598;Мы стояли перед обычным на вид домом.
599;Гном: Ну вот мы и на месте. Ты отвлекаешь его разговором, а я всё проворачиваю.
600;- Так нечестно!
601;Гном: А ты знаешь, как цеплять камеры? Незаметно.
602;- Так научи!
603;Гном: Нет времени. Вдруг мы уже опоздали?
604;Он позвонил в дверь.
605;Открыл действительно старик, разве что больно жизнерадостный.
606;И не сказать, что послезавтра его уже не станет.
607;Всё прошло отлично.
608;Послезавтра. Было решено следить за камерами попарно, чтобы ничего не пропустить.
609;Наконец в доме кто-то появился и исчез вместе с жителем.
610;Гном: Всем подъём! Началось!
611;Предводитель: Я так и знал, что если и забирают жителей, то с помощью телепортов!
612;Гном: Что по устройству слежения?
613;Предводитель: Сейчас посмотрю, пока проверь запись и узнай, кто это был.
614;Гном: Это Кх'арг!
615;Предводитель: Кто встречает - тот и провожает, значит.
616;Предводитель: Они на самом верху хранилища знаний. Туда без допуска не попасть.
617;- И что теперь? Мы убедились, что дело нечисто. Но допуска-то нет.
618;Предводитель: Кажется, я придумал план. Но вам он не понравится.
619;Предводитель: Мы изменим дату смерти одного из нас на ближайшие дни.
620;Предводитель: С помощью некоторых приборов мы сможем как бы жить от его лица.
621;Предводитель: Так мы узнаем, что происходит с жителями после телепорта.
622;Предводитель: Нужно убедиться, что здесь что-то не так. Может, их просто отправляют на родину.
623;Глазастик: Давайте я.
624;- А почему не я? Я ведь самый бесполезный.
625;Предводитель: Тебе точно нельзя. Ты ведь вообще здесь не должен был оказаться.
626;Предводитель: Да и без тебя у нас бы не получилось.
627;Предводитель: А мы давно готовы к худшему варианту развития событий.
628;Предводитель: К тому же, Кх'арг знает, что ты попал сюда по ошибке и сразу заподозрит неладное.
629;Гном: А почему не я?
630;Предводитель: Потому что тебя не заметят.
631;Гном набрал в рот воздуха.
632;- А ты почему не пойдёшь?
633;Предводитель: У меня лапки.
634;Дату смерти Глазастика мы успешно изменили на послезавтра.
635;Перед этим днём он проглотил что-то типа таблетки, а мы все подключились к особым устройствам.
636;Благодаря этому мы могли проживать жизнь Глазастика вместе с ним, чувствуя то же, что и он.
637;Послезавтра Кх'арг появился перед Глазастиком. Они тут же телепортировались на верхний этаж хранилища.
638;Кх'арг сразу же исчез.
639;Перед Глазастиком появился белый, наполовину прозрачный, человек.
640;Он вытянул вперёд руку и Вы почувствовали, как Глазастик начал терять силы.
641;Человек закричал, упал на колени и начал кашлять и задыхаться.
642;На звуки пришёл другой человек, тоже белый и прозрачный.
643;Второй прозрачный: Рэкфорд! Что случилось?
644;Рэкфорд: Вельгем, ты же знаешь...что у меня... аллергия... на жизненную силу.
645;Вельгем посмотрел на Глазастика.
646;Вельгем: Вы ведь страж, почему Вы здесь? Изменили дату своей смерти! Видите, к чему это привело?
647;Вельгем: Так, ладно. Спокойствие, только спокойствие. Что Вы хотите за молчание?
648;Глазастик: Я хочу знать правду. Про всё, что происходит здесь. И в других комплексах.
649;Глазастик: Про вас двоих и про проект "Счастье". В общем, про всё.
650;Вельгем: А не многого хочется? Вы в моей власти. Вот расскажу я, что будете делать?
651;Глазастик: Зависит от того, что услышу.
652;Рэкфорд уже перестал кашлять и задыхаться.
653;Вельгем: Это даже забавно. Хорошо, будь по-Вашему. Вы мне всё равно ничего не сможете сделать.
654;Вельгем: Мы - представители одной из древнейших рас. Даже название её забылось.
655;Вельгем: Наша раса способна накапливать энергию до бесконечности и преобразовывать её в магию.
656;Вельгем: Как только место закончилось, энергия начинает сжиматься и её можно накапливать дальше.
657;Вельгем: Наша раса может жить вечно. Есть ли какой-то подвох? Не знаю, хоть и давно ищу ответ.
658;Вельгем: Мы родились примерно миллиард лет назад. Были соседями, вместе играли и подружились.
659;Вельгем: В двадцать пять лет Рэкфорд полетел в командировку на отдалённую планету.
660;Вельгем: И что-то там подхватил. Неизлечимую болезнь, которая высасывает из него силы.
661;Вельгем: Единственным выходом сохранить ему жизнь была возможность обеспечить доступ к энергии.
662;Вельгем: При этом на жизненную силу у него аллергия.
663;Вельгем: А остальные виды его организм не усваивает. И что остаётся?
664;Вельгем: Его организм мог протянуть ещё несколько лет и я пытался найти нужный вид энергии.
665;Вельгем: Однажды я подумал - что, если дать ему высосать существо, находящееся при смерти?
666;Вельгем: Ведь тогда жизненной энергии будет минимум и аллергия не должна сработать.
667;Вельгем: Так и оказалось. И энергия усвоилась организмом!
668;Вельгем: А потом я заметил, что эффективность сильно разнится от случая к случаю.
669;Вельгем: Так в чём же дело? Оказалось, что больше всего влияло то, насколько счастливо существо.
670;Вельгем: Так и возникла идея комплексов.
671;Вельгем: За счёт магии и технологий печати чего угодно люди счастливы здесь!
672;Вельгем: Проект работает и некоторые страны уже даже частично внедрили его для законопослушных граждан.
673;Глазастик: Ты похищаешь существ против их воли! Так нельзя!
674;Вельгем: Отнюдь. Во-первых, я всегда спрашиваю, хочет ли существо исполнения всех своих желаний?
675;Вельгем: Хочет ли жить в своё удовольствие и ни от кого не зависеть?
676;Глазастик: Так ведь никто не скажет "Нет" на такие вопросы.
677;Вельгем: Ну почему же? Подозрительные всё выспросят. Некоторые и отказываются. Что не так?
678;Глазастик: Люди не знают, что умрут через год. И на что подписываются.
679;Вельгем: Верно. Но разве могли бы они жить счастливо, зная, что скоро умрут? Ответ очевиден.
680;Глазастик: Почему ты не даёшь существам вернуться обратно?
681;Вельгем: Пока желающих не было.
682;Глазастик: Почему я вообще должен верить тебе?
683;Вельгем: Не должны. Но зачем мне врать?
684;Глазастик: Куда пропадают жители? Ну высосут из них энергию, тела ведь должны оставаться.
685;Вельгем: Мы можем полностью поглощать существ, расщепляя их на энергию. Даже атома не остаётся.
686;Глазастик: В чём смысл стражей, если у тебя уже столько энергии?
687;Вельгем: Всё просто. Во-первых, мне тоже нужны сон и отдых. И комплекс в это время не будет без защиты.
688;Вельгем: Во-вторых, я не могу следить за всем сразу. В-третьих, я один, а комплексов много.
689;Глазастик: Как долго ты ещё собираешься убивать существ для продления жизни Рэкфорда?
690;Вельгем: Пока не сделаю лекарство. И вообще...
691;Вельгем: Я не убиваю существ! Не поглощаю энергию целыми галактиками, хотя мог бы!
692;Вельгем: Так я бы давно накопил нужное количество. Но это неправильно.
693;Вельгем: Высасывание существ, которые вот-вот умрут - лучший вариант. Он никому не вредит.
694;Глазастик: И когда ты сделаешь лекарство? И вообще, разве одного комплекса не было бы достаточно?
695;Вельгем: Тут всё сложно. Примерно восемьсот миллионов лет назад я был в одном из далёких миров.
696;Вельгем: Там я наткнулся на любопытный остров. На нём уже давно никто не болел. Преступности не было.
697;Вельгем: Никаких войн и даже драк. Оказалось, местные маги придумали сложнейшее заклинание.
698;Вельгем: Оно позволяет изменить саму реальность, удалив агрессию, болезни, ненависть и так далее.
699;Вельгем: Но их сил хватило лишь на остров. И то потребовалось много жертв.
700;Вельгем: Я же хочу воспроизвести это заклинание на всю вселенную, а для этого нужно много энергии.
701;Глазастик: Откуда мне знать, что ты не хочешь уничтожить вселенную?
702;Вельгем: Уничтожить её я мог ещё четыреста миллионов лет назад, энергии хватало.
703;Вельгем: Но созидание требует существенно больших затрат.
704;Вельгем: И это единственный известный мне способ исцеления друга.
705;Глазастик: Но почему ты не можешь просто применить на нём заклинание?
706;Вельгем: У заклинания есть одна особенность - действует лишь на родине. И ты не должен её покидать.
707;Вельгем: Наш родной мир давно уничтожен в результате столкновения с другой планетой.
708;Вельгем: А если заклинание сработает на всей вселенной, то все будут на своей родине.
709;Вельгем: Ведь мы все родились и живём во вселенной!
710;Глазастик: А что, если не сработает?
711;Вельгем: Сработает, я давно всё просчитал.
712;Глазастик: Каждая раса многие вещи считала невозможными, пока не развила свой уровень технологий.
713;Вельгем: Я досконально изучил тот остров и это заклинание. Всё сработает.
714;Вельгем: Но понадобится ещё как минимум пятьсот миллионов лет с учётом расширения вселенной.
715;Глазастик: Болезни естественны, их нельзя убирать! Никто не может предсказать, как это повлияет!
716;Вельгем: Чушь собачья. Все древнейшие расы достаточно развиты и имеют лекарства от всех болезней.
717;Вельгем: Так какая разница - уметь лечить все болезни или уничтожить их на корню?
718;Вельгем: Да и ничего плохого с тем островом так и не произошло. Я пристально за ним слежу.
719;Глазастик: Почему ты не поглощаешь солнечную энергию? Энергию ветра, приливов и так далее?
720;Глазастик: Ту, что уходит в никуда.
721;Вельгем: Для заклинания необходима энергия, полученная от существ. Как бы объяснить...
722;Вельгем: Грубо говоря, она имеет другой состав. Поэтому магам и нужно было жертвоприношение.
723;Глазастик: Ты говоришь про магию. Что это значит?
724;Вельгем: Всё почти как в книжках и фильмах. Мало кому доступна магия, наша раса - одна из немногих.
725;Вельгем: Но лучше на практике, верно? Сейчас поглощу немного солнечной энергии.
726;Вельгем пропал и через какое-то время вернулся.
727;Он создал огненный шар размером с половину комнаты, затем молнию, потом дерево.
728;На какое-то время воспарил в воздух и летал.
729;Вельгем: Ну что, достаточно? Будете хранить молчание?
730;Глазастик: Так много всего. Сложно сказать, нужно подумать. А если я кому-то расскажу, то что?
731;Вельгем: Вы имеете в виду кого-то ещё, кроме дружков, которые за Вами наблюдают?
732;Глазастик обомлел.
733;Вельгем: Не советую.
734;Вельгем: Если не сдержите слово, я сотру память Вам и всем, кому расскажете.
735;Глазастик: То есть, не будешь убивать или высасывать?
736;Вельгем: Нет, конечно.
737;Глазастик: Ладно, тогда я...пойду?
738;Вельгем: Надеюсь, Вы поступите правильно.
739;Глазастик телепортировался к вам.
740;Глазастик: И что будем делать? Всё не так плохо. Хоть мне и не нравится.
741;- Погодите. А что с теми двумя стражами, из-за которых я сюда попал?
742;Предводитель: Они захотели жить на Земле. Поэтому уже не стражи.
743;- Разве они не могут всем рассказать про это место?
744;Предводитель: Думаю, Вельгем позаботится о том, чтобы они этого не сделали.
745;Гном: Так каков план?
746;Предводитель: Пока никакого. Всё оказалось сложнее, чем я думал.
747;- Их нужно остановить
748;- Нужно рассказать миру правду
749;- Я останусь здесь
750;- Я улетаю домой
751;- Я помогу Вельгему
752;Предводитель: Каким образом? Ты ведь видел, на что способен Вельгем.
753;- Если одному из нас изменить дату смерти, Рэкфорд от аллергии не сможет двигаться.
754;- И мы сможем его уничтожить! Останется лишь Вельгем.
755;Гном: Всего лишь сильнейший, подумаешь.
756;Предводитель: Дело даже не в том, что он сильнейший. Остаётся много вопросов.
757;Предводитель: Что, если они бессмертны? И поэтому могут жить вечно?
758;Предводитель: На что Вельгем пойдёт после смерти друга?
759;Предводитель: Он миллиард лет копит энергию для него. Может и уничтожить вселенную.
760;- Не думаю, что он пойдёт на такое. Так и будет копить энергию для заклинания.
761;Предводитель: Я бы не был так уверен. Ладно, предположим. Рэкфорд уничтожен. Как победить Вельгема?
762;Предводитель: И что делать, если он позовёт остальных стражей, чтобы уничтожить нас? Мы и их убьём?
763;Предводитель: К тому же, ты уже предлагаешь убить их, а не остановить. Это совсем другая история.
764;- Потому что единственный шанс остановить их - это убить. Не думаю, что их можно упечь в тюрьму.
765;- Как убить Вельгема - не знаю. Что делать, если он позовёт стражей - не знаю. Они невиновны.
766;Гном: А если взять Рэкфорда в заложники?
767;Глазастик: И что дальше?
768;Вельгем: Да, и что дальше?
769;Мы синхронно обернулись на звук.
770;Вельгем: Вам меня не остановить. Но навредить Рэкфорду Вы действительно способны.
771;Вельгем: А я этого не допущу. Поэтому сотру Вам память об этом разговоре и Вы начнёте его вновь.
772;Вельгем: Уже без мыслей о том, чтобы убить Рэкфорда.
773;- Есть ведь что-то типа социальной сети, но в масштабах вселенной?
774;Предводитель: Вообще говоря, всё не так просто, но есть. Что ты предлагаешь выложить?
775;- Всё, что знаем
776;- Насколько могуществен Вельгем. Как конкретно он хочет исцелить Рэкфорда. И как похищает существ.
777;Внезапно перед нами появился Вельгем.
778;Вельгем: Я не позволю Вам этого сделать.
779;- Что, боитесь правды, мистер Вселенная?
780;Вельгем: Если Вы выложите всю правду, все узнают, сколько энергии я уже поглотил.
781;Вельгем: За мной начнут охотиться, чтобы использовать в качестве оружия.
782;Вельгем: А Рэкфорда - как заложника, чтобы я подчинялся.
783;Вельгем: Вы даже не представляете, насколько могущественные и опасные есть существа.
784;Вельгем: Более того, так я никогда не вылечу Рэкфорда, ведь энергия будет тратиться на нужды хозяев.
785;Вельгем: Я сотру Вам память и Вы вернётесь к обсуждению.
786;Вельгем: Уже без мысли о том, чтобы выложить данные в сеть.
787;- Всё про болезнь Рэкфорда
788;- Но не будем рассказывать о Вельгеме. Потому что вряд ли он позволит такое выложить.
789;Глазастик: Ха, это уж точно.
790;Вы и представить не могли, к чему это приведёт.
791;Учёные со всей вселенной заинтересовались болезнью Рэкфорда. Никакие лекарства не помогали.
792;Больше всего всех заинтересовало то, что поддерживать жизнь можно было лишь энергией счастья.
793;Спустя десятилетия упорных трудов учёные научились синтезировать энергию счастья.
794;А затем создали множество механизмов, позволяющих конвертировать разные типы энергии в счастье.
795;Благодаря этому Рэкфорд всегда был здоров. А Вельгем смог куда быстрее накопить энергию на заклинание.
796;Вельгем был признан героем Вселенной. Он настоял на том, чтобы признать и всю Вашу компашку героями.
797;В честь вас было названо много улиц и университетов.
798;Но была и обратная сторона монеты. То, что можно создать - можно и уничтожить.
799;Власти по всему миру использовали эту энергию как поощрение для соблюдения абсурдных законов.
800;И в случае чего отбирали у жителей счастье.
801;Преступники же научились использовать его как наркотик.
802;- Мы через многое прошли вместе. Кто знает, может, я ещё пригожусь.
803;- Только пусть мне условия создадут, как всем жителям. И так до самого конца жизни.
804;- Взамен на моё молчание.
805;Предводитель: Отличный план! Думаю, Вельгем не будет против.
806;- И чтобы за мной больше не прилетали
807;- Я ведь уже был здесь? Два раза сюда не попадают.
808;- И я не должен.
809;- И сотрите мне память
810;Улететь
811;Просто улететь
812;Вы жили на Земле. Периодически тосковали по друзьям с Луны.
813;А за год до смерти вновь сюда попали.
814;Вы были счастливы встретиться с друзьями, но радость была омрачена знанием того, что впереди.
815;Просто ждать смерти
816;Дать Вельгему высосать себя
817;- Не будем тянуть резину. Какой смысл ждать своей участи целый год?
818;- Высосите мою энергию сейчас и покончим с этим.
819;Вельгем: Вы поступаете правильно.
820;- Я хочу всё это забыть. То, что я узнал, слишком сложно для простого человека.
821;Предводитель: Понимаю. Хоть ты это и забудешь, знай - ты не простой человек.
822;- Прощайте, друзья.
823;Предводитель: Прощай, друг.
824;Гном: Знай - ты всегда будешь в наших сердцах.
825;Глазастик не нашёлся, что сказать.
826;Вы прожили остаток жизни на Земле.
827;Вы прожили остаток жизни на Земле, периодически вспоминая свои приключения.
828;Вы жили на Земле.
829;А за год до смерти вновь сюда попали.
830;Как обычный житель.
831;Вельгем: Я ценю это. Правда. Спасибо Вам.
832;Вельгем: Никогда раньше не задумывался о том, что могут быть добровольцы. Это прекрасная идея!
833;Вельгем: Чем раньше я смогу применить заклинание, тем больше существ получится спасти.
834;Теперь Вельгем искал по всей вселенной добровольцев.
835;Людей, не имеющих смысла в жизни. Неизлечимо больных.
836;Людей, которые живут в ужасных условиях. Или постоянных страданиях.
837;Часть из них соглашалась. Отказавшимся он просто стирал память о разговоре.
838;Благодаря этому заклинание получилось применить на двести миллионов лет раньше.
839;Вельгем был признан героем Вселенной. Ему ставили памятники во всех уголках мира.
840;В честь него было названо много улиц и университетов.
841;Но и в честь Вас - тоже. Вельгем рассказал о Вашем подвиге и настоял, чтобы и Вас признали героем.
842;Предводитель: В каком смысле?
843;- Я считаю, что его цель стоит жертв. Добровольных, конечно. И я хочу стать одной из них.
844;- Дам ему высосать мою жизнь.
845;Глазастик: Зачем? Тебе ещё жить и жить!
846;- Одной энергией счастья он ещё долго будет копить энергию. Хочу ускорить процесс.
